,Population 2021,,,,
,,,,,
,,,,,
,Ranking,,Economy,(thousands),
,,,,,
GNB,149,,Guinea-Bissau," 2,061 ",
LVA,150,,Latvia," 1,884 ",
XKX,151,,Kosovo," 1,786 ",
GNQ,152,,Equatorial Guinea," 1,634 ",
TTO,153,,Trinidad and Tobago," 1,526 ",
BHR,154,,Bahrain," 1,463 ",
EST,155,,Estonia," 1,331 ",
TLS,156,,Timor-Leste," 1,321 ",
MUS,157,,Mauritius," 1,266 ",
CYP,158,,Cyprus," 1,244 ",
SWZ,159,,Eswatini," 1,192 ",
DJI,160,,Djibouti," 1,106 ",
FJI,161,,Fiji, 925 ,
COM,162,,Comoros, 822 ,
GUY,163,,Guyana, 805 ,
BTN,164,,Bhutan, 777 ,
SLB,165,,Solomon Islands, 708 ,
MAC,166,,"Macao SAR, China", 687 ,
LUX,167,,Luxembourg, 640 ,
MNE,168,,Montenegro, 619 ,
SUR,169,,Suriname, 613 ,
CPV,170,,Cabo Verde, 588 ,
MDV,171,,Maldives, 521 ,
MLT,172,,Malta, 519 ,
BRN,173,,Brunei Darussalam, 445 ,
BHS,174,,"Bahamas, The", 408 ,
BLZ,175,,Belize, 400 ,
ISL,176,,Iceland, 373 ,
VUT,177,,Vanuatu, 319 ,
PYF,178,,French Polynesia, 304 ,
BRB,179,,Barbados, 281 ,
NCL,180,,New Caledonia, 271 ,
STP,181,,São Tomé and Principe, 223 ,
WSM,182,,Samoa, 219 ,
LCA,183,,St. Lucia, 180 ,
CHI,184,,Channel Islands, 173 ,
GUM,185,,Guam, 171 ,
CUW,186,,Curaçao, 152 ,
KIR,187,,Kiribati, 129 ,
GRD,188,,Grenada, 125 ,
FSM,189,,"Micronesia, Fed. Sts.", 113 ,
ABW,190,,Aruba, 107 ,
TON,191,,Tonga, 106 ,
VIR,192,,Virgin Islands (U.S.), 106 ,
VCT,193,,St. Vincent and the Grenadines, 104 ,
SYC,194,,Seychelles, 99 ,
ATG,195,,Antigua and Barbuda, 93 ,
IMN,196,,Isle of Man, 84 ,
AND,197,,Andorra, 79 ,
DMA,198,,Dominica, 72 ,
CYM,199,,Cayman Islands, 68 ,
BMU,200,,Bermuda, 64 ,
GRL,201,,Greenland, 57 ,
FRO,202,,Faroe Islands, 53 ,
MNP,203,,Northern Mariana Islands, 49 ,
KNA,204,,St. Kitts and Nevis, 48 ,
TCA,205,,Turks and Caicos Islands, 45 ,
ASM,206,,American Samoa, 45 ,
SXM,207,,Sint Maarten (Dutch part), 43 ,
MHL,208,,Marshall Islands, 42 ,
LIE,209,,Liechtenstein, 39 ,
MCO,210,,Monaco, 37 ,
SMR,211,,San Marino, 34 ,
GIB,212,,Gibraltar, 33 ,
MAF,213,,St. Martin (French part), 32 ,
VGB,214,,British Virgin Islands, 31 ,
PLW,215,,Palau, 18 ,
NRU,216,,Nauru, 13 ,
TUV,217,,Tuvalu, 11 ,
,,,,,
,,,,,
WLD,,,World," 7,888,409 ",
,,,,,
EAS,,,East Asia & Pacific," 2,370,204 ",
ECS,,,Europe & Central Asia," 923,777 ",
LCN,,,Latin America & Caribbean," 654,982 ",
